,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,Over18,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,JobRole,PerformanceRating,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,NumCompaniesWorked
334,45,Travel_Rarely,549,Research & Development,8,4,Other,1,452,Male,75,2,Married,3697,9278,Y,14,1,80,2,3,Research Scientist,3,9,8,2.5649493574615367,2.3978952727983707,2.302585092994046,No,4,4,3,3,No,9
336,29,Travel_Rarely,318,Research & Development,8,4,Other,1,454,Male,77,1,Married,2119,4759,Y,11,4,80,0,4,Laboratory Technician,3,7,7,2.0794415416798357,2.0794415416798357,0.0,Yes,1,2,1,2,Yes,1
337,29,Travel_Rarely,738,Research & Development,9,5,Other,1,455,Male,30,1,Single,3983,7621,Y,17,3,80,0,2,Laboratory Technician,3,2,2,1.6094379124341003,1.3862943611198906,1.0986122886681096,No,4,2,2,3,No,0
338,30,Travel_Rarely,570,Sales,5,3,Marketing,1,456,Female,30,2,Divorced,6118,5431,Y,13,3,80,3,2,Sales Executive,3,9,2,2.3978952727983707,2.3978952727983707,0.6931471805599453,No,3,4,2,3,No,1
339,27,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,Female,56,2,Married,6214,3415,Y,18,1,80,1,3,Sales Executive,3,7,7,2.1972245773362196,2.1972245773362196,0.0,No,2,2,3,3,No,1
340,37,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,Male,61,2,Divorced,6347,23177,Y,16,3,80,2,2,Manufacturing Director,3,2,4,2.1972245773362196,1.9459101490553132,0.0,No,4,4,3,2,No,7
341,38,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,Male,92,3,Divorced,11510,15682,Y,14,2,80,1,3,Research Director,3,10,9,2.5649493574615367,2.4849066497880004,1.0986122886681096,No,4,3,2,3,Yes,0
342,31,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,Female,39,3,Single,7143,25713,Y,14,3,80,0,2,Manufacturing Director,3,9,10,2.4849066497880004,2.4849066497880004,1.6094379124341003,No,4,3,3,2,Yes,1
343,29,Travel_Rarely,144,Sales,10,1,Marketing,1,463,Female,39,2,Divorced,8268,11866,Y,14,1,80,2,2,Sales Executive,3,7,7,2.0794415416798357,2.0794415416798357,0.6931471805599453,No,2,4,2,3,Yes,1
344,35,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,Male,62,3,Single,8095,18264,Y,13,4,80,0,5,Manufacturing Director,3,6,13,2.8903717578961645,2.833213344056216,0.0,No,2,3,3,3,No,0
345,23,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,Male,83,1,Divorced,2904,16092,Y,12,3,80,2,2,Research Scientist,3,2,2,1.6094379124341003,1.6094379124341003,0.0,No,4,3,3,2,No,1
346,41,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,Male,95,2,Single,6032,10110,Y,15,4,80,0,3,Manufacturing Director,3,4,2,2.1972245773362196,1.791759469228055,0.6931471805599453,No,2,4,2,3,Yes,6
347,47,Travel_Frequently,1309,Sales,4,1,Medical,1,467,Male,99,2,Single,2976,25751,Y,19,1,80,0,3,Sales Representative,3,0,0,1.791759469228055,0.0,0.0,No,3,2,3,3,No,3
348,42,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,Female,44,4,Single,15992,15901,Y,14,2,80,0,2,Research Director,3,0,0,2.833213344056216,0.6931471805599453,0.0,No,4,1,3,3,No,2
349,29,Non-Travel,746,Sales,2,3,Life Sciences,1,469,Male,61,2,Married,4649,16928,Y,14,1,80,1,3,Sales Executive,3,3,2,1.6094379124341003,1.6094379124341003,0.0,No,3,4,3,2,No,1
350,42,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,Male,52,1,Divorced,2696,24017,Y,11,3,80,1,5,Human Resources,3,2,0,1.6094379124341003,1.3862943611198906,0.6931471805599453,No,3,3,3,3,Yes,0
351,32,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,Female,75,1,Married,2370,3956,Y,13,3,80,1,4,Laboratory Technician,3,0,7,2.1972245773362196,2.1972245773362196,0.0,No,2,3,3,3,No,1
353,37,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,Male,51,2,Divorced,5974,17001,Y,13,1,80,2,2,Research Scientist,3,7,7,2.639057329615259,2.0794415416798357,1.9459101490553132,No,1,3,4,3,Yes,4
354,30,Non-Travel,641,Sales,25,2,Technical Degree,1,475,Female,85,2,Married,4736,6069,Y,12,2,80,1,2,Sales Executive,3,2,2,1.6094379124341003,1.0986122886681096,1.0986122886681096,No,3,4,3,4,Yes,7
355,26,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,Male,57,2,Married,5296,20156,Y,17,2,80,1,3,Sales Executive,3,7,7,2.1972245773362196,2.1972245773362196,2.0794415416798357,No,3,3,3,3,No,1
357,21,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,Female,99,1,Single,2174,9150,Y,11,3,80,0,3,Sales Representative,3,2,2,1.3862943611198906,1.3862943611198906,0.6931471805599453,Yes,2,1,2,3,Yes,1
358,36,Non-Travel,845,Sales,1,5,Medical,1,479,Female,45,2,Single,6653,15276,Y,15,2,80,0,6,Sales Executive,3,0,0,2.0794415416798357,0.6931471805599453,0.0,No,4,4,3,3,No,4
359,36,Travel_Frequently,541,Sales,3,4,Medical,1,481,Male,48,3,Married,9699,7246,Y,11,1,80,1,2,Sales Executive,3,9,12,2.833213344056216,2.639057329615259,0.6931471805599453,No,4,1,2,3,No,4
360,57,Travel_Rarely,593,Research & Development,1,4,Medical,1,482,Male,88,2,Married,6755,2967,Y,11,3,80,0,2,Healthcare Representative,3,2,2,2.772588722239781,1.3862943611198906,0.6931471805599453,No,3,4,3,3,No,2
361,40,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,Female,46,1,Married,2213,22495,Y,13,3,80,1,3,Laboratory Technician,3,7,7,2.3978952727983707,2.0794415416798357,0.6931471805599453,No,3,4,4,3,Yes,3
363,33,Travel_Rarely,350,Sales,5,3,Marketing,1,485,Female,34,1,Single,2851,9150,Y,13,2,80,0,2,Sales Representative,3,0,0,0.6931471805599453,0.6931471805599453,0.0,Yes,3,4,3,3,Yes,1
365,46,Non-Travel,1144,Research & Development,7,4,Medical,1,487,Female,30,2,Married,5258,16044,Y,14,3,80,0,2,Manufacturing Director,3,0,0,2.0794415416798357,0.6931471805599453,0.0,No,3,3,3,4,No,2
366,41,Travel_Frequently,143,Sales,4,3,Marketing,1,488,Male,56,2,Single,9355,9558,Y,18,3,80,0,5,Sales Executive,3,7,7,2.1972245773362196,2.1972245773362196,2.0794415416798357,Yes,2,1,3,3,No,1
367,50,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,Male,100,3,Single,10496,2755,Y,15,4,80,0,2,Healthcare Representative,3,3,3,3.044522437723423,1.6094379124341003,0.6931471805599453,No,4,4,2,3,No,6
368,40,Travel_Rarely,575,Sales,22,2,Marketing,1,492,Male,68,2,Married,6380,6110,Y,12,1,80,2,6,Sales Executive,3,4,0,2.1972245773362196,1.9459101490553132,0.6931471805599453,Yes,3,3,2,3,Yes,2
369,31,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,Male,42,1,Single,2657,7551,Y,16,4,80,0,5,Research Scientist,3,2,2,1.3862943611198906,1.0986122886681096,1.0986122886681096,No,2,3,2,3,Yes,0
370,21,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,Female,90,1,Single,2716,25422,Y,15,4,80,0,0,Sales Representative,3,0,0,0.6931471805599453,0.6931471805599453,0.0,Yes,2,3,4,3,No,1
371,29,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495,Male,54,1,Single,2201,18168,Y,16,4,80,0,4,Research Scientist,3,2,2,1.9459101490553132,1.3862943611198906,0.6931471805599453,No,4,4,3,3,No,9
372,35,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,Male,97,2,Single,6540,19394,Y,19,3,80,0,5,Healthcare Representative,3,1,0,2.3978952727983707,0.6931471805599453,0.0,No,2,3,2,3,No,9
373,27,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,Male,82,1,Divorced,3816,17881,Y,11,2,80,1,2,Laboratory Technician,3,2,4,1.791759469228055,1.791759469228055,0.0,No,2,4,3,3,No,1
374,28,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,Male,92,2,Single,5253,20750,Y,16,4,80,0,1,Sales Executive,3,5,7,2.0794415416798357,2.0794415416798357,0.0,No,4,2,3,3,No,1
376,51,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,Female,87,2,Married,4936,14862,Y,11,3,80,1,2,Sales Executive,3,7,7,2.9444389791664403,2.0794415416798357,0.0,No,4,3,3,2,No,4
377,36,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,Female,96,1,Married,2543,11868,Y,13,2,80,1,3,Research Scientist,3,2,2,1.9459101490553132,1.0986122886681096,1.0986122886681096,No,3,4,3,3,No,4
378,34,Non-Travel,1362,Sales,19,3,Marketing,1,502,Male,67,2,Single,5304,4652,Y,13,2,80,0,3,Sales Executive,3,2,4,2.302585092994046,1.791759469228055,0.0,Yes,4,1,4,2,Yes,8
379,55,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,Female,97,4,Single,16659,23258,Y,13,3,80,0,2,Manager,3,4,2,3.4339872044851463,1.791759469228055,0.6931471805599453,No,4,3,3,3,Yes,2
380,24,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,Female,77,2,Divorced,4260,5915,Y,12,4,80,1,2,Sales Executive,3,2,3,1.791759469228055,1.791759469228055,0.0,No,3,4,3,4,Yes,1
381,30,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,Male,72,1,Married,2476,17434,Y,18,1,80,1,3,Sales Representative,3,0,0,0.6931471805599453,0.6931471805599453,0.0,No,2,3,3,3,No,1
383,22,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,Female,43,1,Married,2244,24440,Y,13,4,80,1,1,Research Scientist,3,1,2,1.0986122886681096,1.0986122886681096,0.6931471805599453,No,2,1,3,3,No,1
384,36,Travel_Rarely,164,Sales,2,2,Medical,1,513,Male,61,3,Married,7596,3809,Y,13,2,80,2,2,Sales Executive,3,9,0,2.3978952727983707,2.3978952727983707,2.302585092994046,No,3,2,2,3,No,1
386,37,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,Female,95,1,Divorced,3034,26914,Y,12,3,80,1,2,Laboratory Technician,3,7,17,2.9444389791664403,2.9444389791664403,2.5649493574615367,No,1,4,3,2,No,1
387,40,Travel_Rarely,759,Sales,2,2,Marketing,1,516,Female,46,2,Divorced,5715,22553,Y,12,3,80,2,5,Sales Executive,3,4,3,2.1972245773362196,1.791759469228055,0.6931471805599453,No,2,4,3,3,No,7
388,42,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,Female,95,1,Divorced,2576,20490,Y,16,2,80,1,5,Laboratory Technician,3,2,2,2.1972245773362196,1.791759469228055,0.6931471805599453,No,1,2,3,3,No,3
389,37,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,Male,49,2,Single,4197,21123,Y,12,4,80,0,2,Manufacturing Director,3,0,1,2.9444389791664403,0.6931471805599453,0.0,No,2,3,3,2,Yes,2
390,43,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,Male,59,4,Divorced,14336,4345,Y,11,3,80,1,3,Research Director,3,10,9,3.258096538021482,3.258096538021482,1.3862943611198906,No,2,1,2,3,No,1
392,54,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,Male,86,5,Married,19406,8509,Y,11,3,80,1,4,Research Director,3,2,2,3.2188758248682006,1.6094379124341003,0.6931471805599453,No,1,1,3,2,No,4
393,34,Non-Travel,1381,Sales,4,4,Marketing,1,523,Female,72,2,Married,6538,12740,Y,15,1,80,1,3,Sales Executive,3,2,2,1.9459101490553132,1.3862943611198906,0.6931471805599453,No,3,3,3,3,No,9
394,31,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,Female,31,2,Married,4306,4156,Y,12,2,80,1,5,Manufacturing Director,3,10,12,2.639057329615259,2.639057329615259,1.3862943611198906,No,1,2,3,1,No,1
396,43,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,Female,74,2,Divorced,4522,2227,Y,14,4,80,0,3,Healthcare Representative,3,2,2,2.1972245773362196,1.791759469228055,0.0,No,3,3,3,3,Yes,4
397,25,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,Female,99,2,Single,4487,12090,Y,11,2,80,0,3,Sales Executive,3,4,3,1.791759469228055,1.791759469228055,0.6931471805599453,No,4,2,2,3,Yes,1
398,37,Non-Travel,1063,Research & Development,25,5,Medical,1,529,Female,72,2,Married,4449,23866,Y,15,1,80,2,2,Research Scientist,3,11,7,2.772588722239781,2.639057329615259,2.3978952727983707,No,3,2,3,3,Yes,3
399,31,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,Male,98,1,Married,2218,16193,Y,12,3,80,1,3,Laboratory Technician,3,2,2,1.6094379124341003,1.6094379124341003,1.3862943611198906,No,1,4,2,3,No,1
400,39,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,Male,52,5,Divorced,19197,8213,Y,14,3,80,1,3,Manager,3,8,6,3.091042453358316,3.091042453358316,0.6931471805599453,No,3,2,3,3,Yes,1
401,56,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,Female,86,4,Married,13212,18256,Y,11,4,80,3,0,Sales Executive,3,7,7,3.6109179126442243,2.0794415416798357,2.0794415416798357,No,1,3,4,2,No,9
402,30,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,Female,83,2,Single,6577,19558,Y,11,2,80,0,6,Sales Executive,3,4,4,1.9459101490553132,1.791759469228055,1.6094379124341003,No,3,2,3,3,No,0
403,41,Travel_Rarely,645,Sales,1,3,Marketing,1,534,Male,49,3,Married,8392,19566,Y,16,3,80,1,2,Sales Executive,3,7,7,2.3978952727983707,2.3978952727983707,0.0,No,1,2,4,3,No,1
404,28,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,Male,79,2,Divorced,4558,13535,Y,12,4,80,1,2,Laboratory Technician,3,0,8,2.3978952727983707,2.3978952727983707,0.6931471805599453,No,1,3,3,3,No,1
405,25,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,Male,91,1,Married,4031,9396,Y,13,3,80,1,5,Laboratory Technician,3,2,2,1.9459101490553132,1.0986122886681096,0.0,Yes,1,1,3,3,No,5
406,52,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,Male,39,3,Married,7969,19609,Y,14,3,80,0,4,Manufacturing Director,3,4,4,3.367295829986474,1.791759469228055,0.0,No,3,4,2,3,Yes,2
408,52,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,Female,30,4,Married,16555,10310,Y,13,4,80,0,2,Manager,3,2,4,3.4657359027997265,1.791759469228055,0.6931471805599453,No,4,4,3,1,No,2
409,42,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,Female,92,2,Divorced,4556,12932,Y,11,2,80,1,3,Research Scientist,3,4,2,2.995732273553991,1.791759469228055,0.0,No,3,1,3,3,No,2
411,60,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,Female,41,5,Married,19566,3854,Y,11,4,80,0,5,Manager,3,8,10,3.5263605246161616,3.4011973816621555,2.4849066497880004,No,1,1,3,1,No,5
412,46,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,Female,87,2,Divorced,4810,26314,Y,14,3,80,1,5,Manufacturing Director,3,7,8,2.995732273553991,2.3978952727983707,0.0,No,3,3,3,2,No,2
413,42,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,Female,88,2,Married,4523,4386,Y,11,4,80,3,4,Healthcare Representative,3,5,4,2.0794415416798357,1.9459101490553132,0.0,No,4,4,2,4,No,0
414,24,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,Female,62,1,Single,3202,21972,Y,16,2,80,0,4,Sales Representative,3,3,4,1.9459101490553132,1.791759469228055,0.6931471805599453,Yes,2,1,3,3,Yes,1
415,34,Travel_Frequently,296,Sales,6,2,Marketing,1,555,Female,33,1,Divorced,2351,12253,Y,16,4,80,1,3,Sales Representative,3,2,0,1.3862943611198906,1.0986122886681096,0.6931471805599453,Yes,3,4,1,2,No,0
417,40,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,Female,79,5,Married,18041,13022,Y,14,4,80,0,2,Manager,3,15,12,3.091042453358316,3.044522437723423,0.6931471805599453,No,3,3,3,3,No,0
419,30,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,Male,53,1,Married,2097,16734,Y,15,3,80,1,3,Laboratory Technician,3,3,4,2.302585092994046,1.791759469228055,0.6931471805599453,No,4,3,3,1,No,4
420,29,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,Male,93,3,Married,11935,21526,Y,18,3,80,0,2,Research Director,3,2,7,2.3978952727983707,2.3978952727983707,0.0,No,3,2,2,3,No,1
421,29,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,Female,71,1,Married,2546,18300,Y,16,2,80,0,2,Research Scientist,3,2,1,1.9459101490553132,1.0986122886681096,0.6931471805599453,Yes,2,3,2,4,No,5
422,19,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,Male,52,1,Single,2564,18437,Y,12,3,80,0,3,Human Resources,3,0,0,0.6931471805599453,0.6931471805599453,0.0,Yes,4,1,2,4,No,1
423,30,Non-Travel,1398,Sales,22,4,Other,1,567,Female,69,3,Married,8412,2890,Y,11,3,80,0,3,Sales Executive,3,8,8,2.3978952727983707,2.302585092994046,2.0794415416798357,No,1,3,3,3,No,0
424,57,Travel_Rarely,210,Sales,29,3,Marketing,1,568,Male,56,4,Divorced,14118,22102,Y,12,3,80,1,3,Manager,3,0,0,3.4965075614664802,0.6931471805599453,0.0,No,4,1,2,2,No,3
425,50,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,Male,88,4,Married,17046,9314,Y,15,2,80,1,2,Manager,3,10,7,3.367295829986474,3.332204510175204,2.772588722239781,No,3,2,2,3,No,0
426,30,Non-Travel,1116,Research & Development,2,3,Medical,1,571,Female,49,1,Single,2564,7181,Y,14,3,80,0,2,Laboratory Technician,3,7,7,2.5649493574615367,2.4849066497880004,1.9459101490553132,No,4,3,3,2,No,0
427,60,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,Female,80,3,Married,10266,2845,Y,19,4,80,0,5,Sales Executive,3,13,11,3.1354942159291497,2.9444389791664403,2.639057329615259,No,1,3,2,4,No,4
428,47,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,Female,65,2,Divorced,5070,7389,Y,13,3,80,3,2,Manufacturing Director,3,0,4,3.044522437723423,1.791759469228055,0.0,No,4,1,3,3,No,5
429,46,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,Male,51,4,Married,17861,2288,Y,13,3,80,0,2,Research Director,3,2,1,3.295836866004329,1.3862943611198906,0.0,No,3,1,3,1,No,6
430,35,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,Male,46,1,Single,4230,19225,Y,15,3,80,0,2,Laboratory Technician,3,4,3,1.9459101490553132,1.791759469228055,1.6094379124341003,No,3,4,1,3,No,0
431,54,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,Female,42,2,Single,3780,23428,Y,11,3,80,0,3,Laboratory Technician,3,0,0,2.995732273553991,0.6931471805599453,0.0,No,3,3,3,3,No,7
432,34,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,Male,62,1,Divorced,2768,8416,Y,12,3,80,1,3,Research Scientist,3,3,7,2.70805020110221,2.0794415416798357,1.791759469228055,No,3,4,2,3,No,3
433,46,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,Female,94,3,Married,9071,11563,Y,19,3,80,1,3,Sales Executive,3,2,2,2.772588722239781,1.3862943611198906,0.6931471805599453,No,4,3,2,3,Yes,2
435,33,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,Male,56,3,Married,13610,24619,Y,12,4,80,0,2,Manager,3,6,7,2.772588722239781,2.0794415416798357,2.0794415416798357,Yes,3,2,3,4,Yes,7
436,33,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,Male,38,1,Divorced,3408,6705,Y,13,1,80,3,2,Laboratory Technician,3,3,3,2.1972245773362196,1.6094379124341003,0.6931471805599453,Yes,4,1,1,3,No,7
437,30,Travel_Rarely,413,Sales,7,1,Marketing,1,585,Male,57,1,Single,2983,18398,Y,14,1,80,0,3,Sales Representative,3,2,2,1.6094379124341003,1.3862943611198906,0.6931471805599453,No,2,4,3,3,No,0
438,35,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,Male,72,3,Married,7632,14295,Y,12,3,80,0,2,Healthcare Representative,3,7,0,2.3978952727983707,2.1972245773362196,0.0,No,3,4,3,3,Yes,4
439,31,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,587,Male,66,3,Married,9824,22908,Y,12,1,80,0,2,Healthcare Representative,3,0,0,2.5649493574615367,0.6931471805599453,0.0,Yes,3,1,3,3,No,3
440,34,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,Female,43,3,Divorced,9950,11533,Y,15,3,80,3,2,Human Resources,3,2,2,2.4849066497880004,1.3862943611198906,0.0,Yes,1,2,3,3,Yes,9
441,42,Travel_Frequently,1474,Research & Development,5,2,Other,1,591,Male,97,1,Married,2093,9260,Y,17,4,80,1,4,Laboratory Technician,3,2,0,2.1972245773362196,1.0986122886681096,1.0986122886681096,No,3,2,3,3,No,4
442,36,Non-Travel,635,Sales,10,4,Medical,1,592,Male,32,3,Single,9980,15318,Y,14,4,80,0,3,Sales Executive,3,3,7,2.3978952727983707,2.3978952727983707,2.302585092994046,No,4,2,3,2,No,1
443,22,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,Male,99,1,Single,3894,9129,Y,16,3,80,0,3,Laboratory Technician,3,2,2,1.6094379124341003,1.0986122886681096,0.6931471805599453,Yes,3,3,2,3,No,5
444,48,Travel_Rarely,163,Sales,2,5,Marketing,1,595,Female,37,2,Married,4051,19658,Y,14,1,80,1,2,Sales Executive,3,7,7,2.70805020110221,2.302585092994046,1.9459101490553132,No,4,2,3,3,No,2
446,41,Non-Travel,267,Sales,10,2,Life Sciences,1,599,Male,56,2,Single,6230,13430,Y,14,4,80,0,3,Sales Executive,3,3,10,2.833213344056216,2.70805020110221,0.6931471805599453,No,4,4,3,3,No,7
447,35,Travel_Rarely,619,Sales,1,3,Marketing,1,600,Male,85,2,Married,4717,18659,Y,11,3,80,0,2,Sales Executive,3,9,9,2.772588722239781,2.4849066497880004,1.9459101490553132,No,3,2,3,3,No,9
448,40,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,Female,75,4,Single,13237,20364,Y,15,3,80,0,3,Manufacturing Director,3,6,13,3.1354942159291497,3.044522437723423,1.791759469228055,No,3,2,3,3,No,7
449,39,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,602,Female,48,1,Married,3755,17872,Y,11,1,80,1,3,Laboratory Technician,3,3,7,2.1972245773362196,2.1972245773362196,0.0,No,3,3,3,3,No,1
450,31,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,Male,77,2,Single,6582,8346,Y,13,3,80,0,2,Sales Executive,3,5,5,2.3978952727983707,1.9459101490553132,0.0,No,4,2,3,4,Yes,4
452,45,Travel_Rarely,561,Sales,2,3,Other,1,606,Male,61,2,Married,4805,16177,Y,19,2,80,1,3,Sales Executive,3,7,7,2.302585092994046,2.1972245773362196,1.3862943611198906,No,2,4,3,4,No,0
453,26,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,Female,58,1,Divorced,2741,22808,Y,11,2,80,1,2,Human Resources,3,7,0,2.1972245773362196,2.0794415416798357,0.6931471805599453,Yes,3,2,3,2,Yes,0
454,29,Travel_Rarely,232,Research & Development,19,3,Technical Degree,1,611,Male,34,2,Divorced,4262,22645,Y,12,2,80,2,2,Manufacturing Director,3,2,2,2.1972245773362196,1.3862943611198906,0.6931471805599453,No,4,4,3,4,No,4
455,33,Travel_Rarely,922,Research & Development,1,5,Medical,1,612,Female,95,4,Divorced,16184,22578,Y,19,3,80,1,2,Research Director,3,1,5,2.3978952727983707,1.9459101490553132,0.0,No,3,1,4,3,No,4
457,18,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,Male,69,1,Single,1878,8059,Y,14,4,80,0,3,Sales Representative,3,0,0,0.0,0.0,0.0,Yes,2,2,3,3,Yes,1
458,40,Non-Travel,1094,Sales,28,3,Other,1,615,Male,58,3,Divorced,10932,11373,Y,15,3,80,1,2,Sales Executive,3,0,1,3.044522437723423,0.6931471805599453,0.0,No,1,3,1,3,No,3
459,41,Non-Travel,509,Research & Development,2,4,Other,1,616,Female,62,2,Single,6811,2112,Y,17,1,80,0,3,Healthcare Representative,3,7,7,2.3978952727983707,2.1972245773362196,0.0,No,3,1,2,3,Yes,2
460,26,Travel_Rarely,775,Sales,29,2,Medical,1,618,Male,45,2,Divorced,4306,4267,Y,12,1,80,2,5,Sales Executive,3,0,0,2.1972245773362196,0.0,0.0,No,3,1,3,3,No,5
461,35,Travel_Rarely,195,Sales,1,3,Medical,1,620,Female,80,2,Single,4859,6698,Y,16,4,80,0,3,Sales Executive,3,4,3,1.791759469228055,1.791759469228055,0.0,No,3,1,3,3,No,1
462,34,Travel_Rarely,258,Sales,21,4,Life Sciences,1,621,Male,74,2,Single,5337,19921,Y,12,4,80,0,3,Sales Executive,3,7,7,2.3978952727983707,2.3978952727983707,1.791759469228055,No,4,4,4,3,No,1
463,26,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,622,Male,66,1,Single,2340,23213,Y,18,2,80,0,3,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,Yes,4,3,1,1,Yes,1
464,37,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,Female,59,3,Single,7491,23848,Y,17,4,80,0,3,Manufacturing Director,3,5,2,2.5649493574615367,1.9459101490553132,0.6931471805599453,No,4,2,3,4,No,4
465,46,Travel_Frequently,1034,Research & Development,18,1,Medical,1,624,Female,86,3,Married,10527,8984,Y,11,4,80,0,3,Healthcare Representative,3,2,2,3.367295829986474,1.0986122886681096,0.6931471805599453,No,3,1,3,2,No,5
466,41,Travel_Rarely,1276,Sales,2,5,Life Sciences,1,625,Female,91,4,Married,16595,5626,Y,16,2,80,1,2,Manager,3,16,8,3.1354942159291497,2.9444389791664403,2.4849066497880004,No,1,2,3,3,No,7
467,37,Non-Travel,142,Sales,9,4,Medical,1,626,Male,69,3,Divorced,8834,24666,Y,13,4,80,1,6,Sales Executive,3,5,7,2.302585092994046,2.302585092994046,2.0794415416798357,No,2,1,3,3,No,1
468,52,Travel_Rarely,956,Research & Development,6,2,Technical Degree,1,630,Male,78,2,Divorced,5577,22087,Y,12,2,80,2,3,Research Scientist,3,9,9,2.9444389791664403,2.3978952727983707,1.9459101490553132,No,1,4,3,3,Yes,3
469,32,Non-Travel,1474,Sales,11,4,Other,1,631,Male,60,2,Married,4707,23914,Y,12,4,80,0,2,Sales Executive,3,2,2,1.9459101490553132,1.6094379124341003,0.6931471805599453,Yes,3,4,4,3,No,8
